Time,headOrigin_X,headOrigin_Y,headOrigin_Z,headDirection_X,headDirection_Y,headDirection_Z,headDirection_normalized_X,headDirection_normalized_Y,headDirection_normalized_Z,eyeOrigin_X,eyeOrigin_Y,eyeOrigin_Z,eyeDirection_X,eyeDirection_Y,eyeDirection_Z,eyeDirect_normalized_X,eyeDirect_normalized_Y,eyeDirect_normalized_Z
0.0,0.0, 0.0, 3.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0,0.0, 0.0, 0.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0
1.5,0.0, 0.0, 369.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0,0.0, 0.0, 366.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0
1.6,0.0, 0.0, 395.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0,0.0, 0.0, 392.0,0.0, 0.0, 1.0,0.0, 0.0, 1.0
1.7,-1.7, -0.3, 420.9,-0.2, -0.1, 1.0,-0.2, -0.1, 1.0,-1.3, -0.1, 417.9,-0.2, -0.1, 1.0,-0.2, -0.1, 1.0
1.8,-9.7, -3.1, 438.9,-0.5, -0.2, 0.8,-0.5, -0.2, 0.8,-8.6, -2.6, 436.2,-0.5, -0.2, 0.8,-0.5, -0.2, 0.8
1.9,-27.7, -15.8, 455.5,-0.7, -0.6, 0.4,-0.7, -0.6, 0.4,-26.4, -14.6, 453.7,-0.7, -0.6, 0.4,-0.7, -0.6, 0.4
2.0,-43.7, -38.0, 460.5,-0.4, -0.9, 0.0,-0.4, -0.9, 0.0,-42.8, -36.2, 459.4,-0.4, -0.9, 0.0,-0.4, -0.9, 0.0
2.1,-49.0, -61.3, 459.7,-0.1, -1.0, 0.0,-0.1, -1.0, 0.0,-48.9, -59.3, 458.8,-0.1, -1.0, 0.0,-0.1, -1.0, 0.0
2.2,-46.5, -101.1, 461.8,0.1, -1.0, 0.1,0.1, -1.0, 0.1,-46.7, -99.1, 460.7,0.1, -1.0, 0.1,0.1, -1.0, 0.1
2.3,-46.5, -121.0, 462.0,-0.1, -1.0, -0.1,-0.1, -1.0, -0.1,-46.3, -119.0, 461.1,-0.1, -1.0, -0.1,-0.1, -1.0, -0.1
2.4,-56.2, -146.9, 459.7,-0.6, -0.8, 0.0,-0.6, -0.8, 0.0,-55.0, -145.3, 458.8,-0.6, -0.8, 0.0,-0.6, -0.8, 0.0
2.5,-69.6, -166.6, 462.0,-0.5, -0.9, 0.2,-0.5, -0.9, 0.2,-68.7, -164.8, 460.7,-0.5, -0.9, 0.2,-0.5, -0.9, 0.2
2.6,-81.4, -191.6, 466.6,-0.4, -0.9, 0.2,-0.4, -0.9, 0.2,-80.6, -189.8, 465.3,-0.4, -0.9, 0.2,-0.4, -0.9, 0.2
2.7,-90.4, -217.8, 468.5,-0.1, -1.0, 0.0,-0.1, -1.0, 0.0,-90.1, -215.8, 467.5,-0.1, -1.0, 0.0,-0.1, -1.0, 0.0
2.8,-87.9, -245.5, 469.6,0.2, -1.0, 0.1,0.2, -1.0, 0.1,-88.3, -243.6, 468.4,0.2, -1.0, 0.1,0.2, -1.0, 0.1
2.9,-82.0, -276.8, 472.6,0.1, -1.0, 0.1,0.1, -1.0, 0.1,-82.3, -274.8, 471.5,0.1, -1.0, 0.1,0.1, -1.0, 0.1
3.0,-82.3, -302.8, 472.7,0.1, -1.0, 0.0,0.1, -1.0, 0.0,-82.4, -300.8, 471.7,0.1, -1.0, 0.0,0.1, -1.0, 0.0
3.1,-75.6, -329.8, 471.1,0.3, -0.9, -0.1,0.3, -0.9, -0.1,-76.2, -327.9, 470.3,0.3, -0.9, -0.1,0.3, -0.9, -0.1
3.2,-60.2, -352.8, 469.8,0.7, -0.7, 0.1,0.7, -0.7, 0.1,-61.7, -351.5, 468.7,0.7, -0.7, 0.1,0.7, -0.7, 0.1
3.3,-40.9, -364.6, 476.6,0.8, -0.3, 0.5,0.8, -0.3, 0.5,-42.5, -364.0, 474.7,0.8, -0.3, 0.5,0.8, -0.3, 0.5
3.4,-13.5, -365.9, 492.5,0.8, 0.2, 0.6,0.8, 0.2, 0.6,-15.1, -366.3, 490.3,0.8, 0.2, 0.6,0.8, 0.2, 0.6
3.5,0.3, -359.0, 508.0,0.5, 0.4, 0.8,0.5, 0.4, 0.8,-0.6, -359.9, 505.4,0.5, 0.4, 0.8,0.5, 0.4, 0.8
3.6,8.7, -337.7, 532.7,0.1, 0.8, 0.6,0.1, 0.8, 0.6,8.5, -339.3, 530.4,0.1, 0.8, 0.6,0.1, 0.8, 0.6
3.7,10.8, -316.5, 543.5,0.1, 0.9, 0.3,0.1, 0.9, 0.3,10.7, -318.4, 541.8,0.1, 0.9, 0.3,0.1, 0.9, 0.3
3.8,11.1, -288.8, 545.4,-0.1, 1.0, -0.1,-0.1, 1.0, -0.1,11.2, -290.8, 544.6,-0.1, 1.0, -0.1,-0.1, 1.0, -0.1
3.9,4.0, -263.2, 537.5,-0.4, 0.8, -0.4,-0.4, 0.8, -0.4,4.8, -264.8, 537.3,-0.4, 0.8, -0.4,-0.4, 0.8, -0.4
4.0,-11.3, -245.2, 527.1,-0.7, 0.6, -0.4,-0.7, 0.6, -0.4,-9.8, -246.3, 526.8,-0.7, 0.6, -0.4,-0.7, 0.6, -0.4
